,clip_name,label,cluster
192,train193.aiff,0,1
193,train194.aiff,0,4
194,train195.aiff,0,2
195,train196.aiff,0,2
196,train197.aiff,0,2
197,train198.aiff,0,2
198,train199.aiff,0,2
199,train200.aiff,0,2
200,train201.aiff,0,2
201,train202.aiff,0,2
202,train203.aiff,0,2
203,train204.aiff,0,2
204,train205.aiff,0,2
205,train206.aiff,0,2
206,train207.aiff,0,2
207,train208.aiff,0,1
208,train209.aiff,0,2
209,train210.aiff,0,2
210,train211.aiff,0,2
211,train212.aiff,0,2
212,train213.aiff,0,1
213,train214.aiff,0,2
214,train215.aiff,0,1
215,train216.aiff,0,1
216,train217.aiff,0,2
217,train218.aiff,0,2
218,train219.aiff,0,2
219,train220.aiff,0,1
220,train221.aiff,0,1
221,train222.aiff,0,2
222,train223.aiff,0,2
223,train224.aiff,0,3
224,train225.aiff,0,2
225,train226.aiff,1,0
226,train227.aiff,1,0
227,train228.aiff,1,0
228,train229.aiff,1,0
229,train230.aiff,1,0
230,train231.aiff,0,2
231,train232.aiff,0,1
232,train233.aiff,0,2
233,train234.aiff,0,1
234,train235.aiff,0,1
235,train236.aiff,0,2
236,train237.aiff,0,2
237,train238.aiff,0,2
238,train239.aiff,0,2
239,train240.aiff,0,3
240,train241.aiff,0,1
241,train242.aiff,0,1
242,train243.aiff,0,2
243,train244.aiff,0,1
244,train245.aiff,0,1
245,train246.aiff,0,1
246,train247.aiff,0,2
247,train248.aiff,0,2
248,train249.aiff,0,1
249,train250.aiff,0,0
250,train251.aiff,0,1
251,train252.aiff,0,1
252,train253.aiff,0,1
253,train254.aiff,0,1
254,train255.aiff,0,1
255,train256.aiff,0,1
256,train257.aiff,0,1
257,train258.aiff,0,3
258,train259.aiff,0,1
259,train260.aiff,0,1
260,train261.aiff,0,1
261,train262.aiff,0,1
262,train263.aiff,0,1
263,train264.aiff,0,2
264,train265.aiff,0,1
265,train266.aiff,0,3
266,train267.aiff,0,0
267,train268.aiff,0,1
268,train269.aiff,0,1
269,train270.aiff,0,1
270,train271.aiff,0,1
271,train272.aiff,0,2
272,train273.aiff,1,0
273,train274.aiff,0,2
274,train275.aiff,0,2
275,train276.aiff,0,2
276,train277.aiff,0,1
277,train278.aiff,0,1
278,train279.aiff,0,2
279,train280.aiff,0,1
280,train281.aiff,0,2
281,train282.aiff,0,2
282,train283.aiff,0,2
283,train284.aiff,0,2
284,train285.aiff,0,2
285,train286.aiff,0,1
286,train287.aiff,0,2
287,train288.aiff,0,1
288,train289.aiff,0,2
289,train290.aiff,0,2
290,train291.aiff,0,1
291,train292.aiff,0,0
292,train293.aiff,0,2
293,train294.aiff,0,2
294,train295.aiff,0,1
295,train296.aiff,0,1
296,train297.aiff,0,1
297,train298.aiff,0,2
298,train299.aiff,0,1
299,train300.aiff,0,2
300,train301.aiff,0,1
301,train302.aiff,0,2
302,train303.aiff,0,2
303,train304.aiff,0,1
304,train305.aiff,0,2
305,train306.aiff,0,1
306,train307.aiff,0,2
307,train308.aiff,0,1
308,train309.aiff,0,2
309,train310.aiff,1,0
310,train311.aiff,0,2
311,train312.aiff,0,2
312,train313.aiff,0,1
313,train314.aiff,0,0
314,train315.aiff,0,1
315,train316.aiff,0,2
316,train317.aiff,0,2
317,train318.aiff,0,1
318,train319.aiff,0,2
319,train320.aiff,0,3
320,train321.aiff,0,2
321,train322.aiff,0,2
322,train323.aiff,0,2
323,train324.aiff,0,0
324,train325.aiff,0,2
325,train326.aiff,0,1
326,train327.aiff,0,0
327,train328.aiff,0,1
328,train329.aiff,0,1
329,train330.aiff,0,1
330,train331.aiff,0,2
331,train332.aiff,0,2
332,train333.aiff,0,2
333,train334.aiff,0,2
334,train335.aiff,0,2
335,train336.aiff,0,1
336,train337.aiff,0,0
337,train338.aiff,0,0
338,train339.aiff,0,2
339,train340.aiff,0,1
340,train341.aiff,0,1
341,train342.aiff,0,2
342,train343.aiff,0,2
343,train344.aiff,0,0
344,train345.aiff,0,2
345,train346.aiff,0,2
346,train347.aiff,0,2
347,train348.aiff,0,2
348,train349.aiff,1,0
349,train350.aiff,1,0
350,train351.aiff,1,0
351,train352.aiff,1,0
352,train353.aiff,0,2
353,train354.aiff,0,1
354,train355.aiff,0,1
355,train356.aiff,0,1
356,train357.aiff,0,2
357,train358.aiff,0,2
358,train359.aiff,0,2
359,train360.aiff,0,2
360,train361.aiff,0,0
361,train362.aiff,0,2
362,train363.aiff,0,3
363,train364.aiff,0,0
364,train365.aiff,0,1
365,train366.aiff,0,1
366,train367.aiff,0,2
367,train368.aiff,0,1
368,train369.aiff,0,2
369,train370.aiff,0,2
370,train371.aiff,0,2
371,train372.aiff,0,0
372,train373.aiff,1,0
373,train374.aiff,0,1
374,train375.aiff,0,2
375,train376.aiff,0,0
376,train377.aiff,0,0
377,train378.aiff,1,0
378,train379.aiff,1,0
379,train380.aiff,1,0
380,train381.aiff,0,0
381,train382.aiff,0,2
382,train383.aiff,0,3
383,train384.aiff,0,0
384,train385.aiff,0,0
385,train386.aiff,1,2
386,train387.aiff,0,4
387,train388.aiff,0,2
388,train389.aiff,0,1
389,train390.aiff,0,1
390,train391.aiff,0,2
391,train392.aiff,0,0
392,train393.aiff,0,0
393,train394.aiff,0,2
394,train395.aiff,0,2
395,train396.aiff,0,2
396,train397.aiff,0,2
397,train398.aiff,0,2
398,train399.aiff,0,2
399,train400.aiff,0,0
400,train401.aiff,1,0
401,train402.aiff,0,0
402,train403.aiff,0,1
403,train404.aiff,0,0
404,train405.aiff,0,0
405,train406.aiff,0,0
406,train407.aiff,0,0
407,train408.aiff,0,2
408,train409.aiff,1,0
409,train410.aiff,0,0
410,train411.aiff,0,2
411,train412.aiff,0,2
412,train413.aiff,0,2
413,train414.aiff,0,2
414,train415.aiff,0,0
415,train416.aiff,0,2
416,train417.aiff,0,0
417,train418.aiff,1,0
418,train419.aiff,0,2
419,train420.aiff,0,1
420,train421.aiff,0,2
421,train422.aiff,0,2
422,train423.aiff,0,0
423,train424.aiff,0,2
424,train425.aiff,0,2
425,train426.aiff,0,0
426,train427.aiff,0,1
427,train428.aiff,0,2
428,train429.aiff,0,1
429,train430.aiff,0,4
430,train431.aiff,0,0
431,train432.aiff,0,1
432,train433.aiff,0,2
433,train434.aiff,1,2
434,train435.aiff,0,2
435,train436.aiff,0,0
436,train437.aiff,0,2
437,train438.aiff,0,2
438,train439.aiff,0,1
439,train440.aiff,0,2
440,train441.aiff,0,0
441,train442.aiff,0,1
442,train443.aiff,0,0
443,train444.aiff,0,0
444,train445.aiff,0,0
445,train446.aiff,0,2
446,train447.aiff,0,0
447,train448.aiff,0,2
448,train449.aiff,0,2
449,train450.aiff,0,2
450,train451.aiff,0,1
451,train452.aiff,0,2
452,train453.aiff,0,1
453,train454.aiff,0,1
454,train455.aiff,0,1
455,train456.aiff,0,1
456,train457.aiff,0,4
457,train458.aiff,0,4
458,train459.aiff,0,1
459,train460.aiff,0,2
460,train461.aiff,0,1
461,train462.aiff,0,1
462,train463.aiff,0,1
463,train464.aiff,0,2
464,train465.aiff,0,4
465,train466.aiff,0,1
466,train467.aiff,0,2
467,train468.aiff,0,2
468,train469.aiff,0,2
469,train470.aiff,0,2
470,train471.aiff,0,1
471,train472.aiff,0,1
472,train473.aiff,0,2
473,train474.aiff,0,1
474,train475.aiff,0,2
475,train476.aiff,0,1
476,train477.aiff,0,1
477,train478.aiff,0,1
478,train479.aiff,0,1
479,train480.aiff,0,1
480,train481.aiff,0,1
481,train482.aiff,0,1
482,train483.aiff,0,2
483,train484.aiff,0,2
484,train485.aiff,0,1
485,train486.aiff,0,2
486,train487.aiff,0,1
487,train488.aiff,0,2
488,train489.aiff,0,2
489,train490.aiff,0,2
490,train491.aiff,0,0
491,train492.aiff,0,2
492,train493.aiff,0,2
493,train494.aiff,0,2
494,train495.aiff,0,0
495,train496.aiff,0,2
496,train497.aiff,0,1
497,train498.aiff,0,1
498,train499.aiff,0,1
499,train500.aiff,0,2
500,train501.aiff,0,1
501,train502.aiff,0,2
502,train503.aiff,0,2
503,train504.aiff,0,1
504,train505.aiff,0,2
505,train506.aiff,0,2
506,train507.aiff,1,3
507,train508.aiff,1,3
508,train509.aiff,1,3
509,train510.aiff,1,3
510,train511.aiff,0,2
511,train512.aiff,0,2
512,train513.aiff,0,2
513,train514.aiff,0,1
514,train515.aiff,0,2
515,train516.aiff,0,1
516,train517.aiff,0,1
517,train518.aiff,0,2
518,train519.aiff,0,1
519,train520.aiff,0,0
520,train521.aiff,0,2
521,train522.aiff,0,2
522,train523.aiff,0,0
523,train524.aiff,0,2
524,train525.aiff,0,2
525,train526.aiff,0,2
526,train527.aiff,0,1
527,train528.aiff,0,2
528,train529.aiff,0,0
529,train530.aiff,0,0
530,train531.aiff,0,1
531,train532.aiff,0,0
532,train533.aiff,0,0
533,train534.aiff,0,0
534,train535.aiff,0,0
535,train536.aiff,0,2
536,train537.aiff,0,2
537,train538.aiff,0,2
538,train539.aiff,0,2
539,train540.aiff,0,2
540,train541.aiff,0,2
541,train542.aiff,0,1
542,train543.aiff,0,1
543,train544.aiff,0,1
544,train545.aiff,0,0
545,train546.aiff,0,0
546,train547.aiff,0,1
547,train548.aiff,0,0
548,train549.aiff,0,1
549,train550.aiff,0,1
550,train551.aiff,0,0
551,train552.aiff,0,1
552,train553.aiff,0,0
553,train554.aiff,0,2
554,train555.aiff,0,0
555,train556.aiff,0,1
556,train557.aiff,0,1
557,train558.aiff,0,1
558,train559.aiff,0,2
559,train560.aiff,0,0
560,train561.aiff,0,1
561,train562.aiff,0,2
562,train563.aiff,0,0
563,train564.aiff,0,0
564,train565.aiff,0,2
565,train566.aiff,1,0
566,train567.aiff,0,0
567,train568.aiff,0,1
568,train569.aiff,0,0
569,train570.aiff,0,1
570,train571.aiff,0,1
571,train572.aiff,0,1
572,train573.aiff,0,1
573,train574.aiff,0,1
574,train575.aiff,0,1
575,train576.aiff,0,2
576,train577.aiff,0,2
577,train578.aiff,0,0
578,train579.aiff,0,1
579,train580.aiff,0,1
580,train581.aiff,0,1
581,train582.aiff,0,1
582,train583.aiff,0,2
583,train584.aiff,0,2
584,train585.aiff,0,2
585,train586.aiff,0,2
586,train587.aiff,0,2
587,train588.aiff,0,2
588,train589.aiff,0,2
589,train590.aiff,0,2
590,train591.aiff,0,1
591,train592.aiff,0,2
592,train593.aiff,0,0
593,train594.aiff,0,2
594,train595.aiff,0,2
595,train596.aiff,0,2
596,train597.aiff,0,2
597,train598.aiff,0,2
598,train599.aiff,0,2
599,train600.aiff,0,2
600,train601.aiff,1,0
601,train602.aiff,0,2
602,train603.aiff,0,2
603,train604.aiff,0,1
604,train605.aiff,0,1
605,train606.aiff,0,2
606,train607.aiff,0,2
607,train608.aiff,0,1
608,train609.aiff,0,2
609,train610.aiff,0,0
610,train611.aiff,0,1
611,train612.aiff,0,0
612,train613.aiff,0,1
613,train614.aiff,0,1
614,train615.aiff,0,1
615,train616.aiff,0,2
616,train617.aiff,0,2
617,train618.aiff,0,0
618,train619.aiff,0,0
619,train620.aiff,0,2
620,train621.aiff,0,0
621,train622.aiff,0,2
622,train623.aiff,0,1
623,train624.aiff,0,0
624,train625.aiff,0,0
625,train626.aiff,0,0
626,train627.aiff,0,0
627,train628.aiff,0,1
628,train629.aiff,0,1
629,train630.aiff,0,2
630,train631.aiff,0,2
631,train632.aiff,0,2
632,train633.aiff,0,0
633,train634.aiff,0,2
634,train635.aiff,0,2
635,train636.aiff,0,2
636,train637.aiff,0,2
637,train638.aiff,0,1
638,train639.aiff,0,2
639,train640.aiff,0,1
640,train641.aiff,0,2
641,train642.aiff,0,2
642,train643.aiff,0,2
643,train644.aiff,0,0
644,train645.aiff,0,0
645,train646.aiff,0,0
646,train647.aiff,0,0
647,train648.aiff,0,0
648,train649.aiff,0,2
649,train650.aiff,0,0
650,train651.aiff,1,2
651,train652.aiff,0,2
652,train653.aiff,0,2
653,train654.aiff,0,2
654,train655.aiff,0,2
655,train656.aiff,0,2
656,train657.aiff,0,1
657,train658.aiff,0,2
658,train659.aiff,0,2
659,train660.aiff,0,0
660,train661.aiff,0,0
661,train662.aiff,0,4
662,train663.aiff,0,1
663,train664.aiff,0,2
664,train665.aiff,0,2
665,train666.aiff,0,0
666,train667.aiff,0,2
667,train668.aiff,0,0
668,train669.aiff,0,0
669,train670.aiff,0,1
670,train671.aiff,0,1
671,train672.aiff,0,2
672,train673.aiff,1,2
673,train674.aiff,0,2
674,train675.aiff,0,1
675,train676.aiff,0,2
676,train677.aiff,0,1
677,train678.aiff,0,1
678,train679.aiff,0,2
679,train680.aiff,0,2
680,train681.aiff,0,2
681,train682.aiff,0,1
682,train683.aiff,1,0
683,train684.aiff,1,0
684,train685.aiff,1,0
685,train686.aiff,0,2
686,train687.aiff,0,1
687,train688.aiff,0,1
688,train689.aiff,0,1
689,train690.aiff,0,2
690,train691.aiff,0,2
691,train692.aiff,0,0
692,train693.aiff,0,0
693,train694.aiff,0,0
694,train695.aiff,0,2
695,train696.aiff,0,1
696,train697.aiff,0,2
697,train698.aiff,0,2
698,train699.aiff,0,2
699,train700.aiff,1,0
700,train701.aiff,1,0
701,train702.aiff,0,1
702,train703.aiff,0,1
703,train704.aiff,0,1
704,train705.aiff,0,1
705,train706.aiff,0,0
706,train707.aiff,0,2
707,train708.aiff,0,0
708,train709.aiff,0,0
709,train710.aiff,0,1
710,train711.aiff,0,0
711,train712.aiff,0,2
712,train713.aiff,0,2
713,train714.aiff,0,2
714,train715.aiff,0,0
715,train716.aiff,0,0
716,train717.aiff,0,0
717,train718.aiff,0,0
718,train719.aiff,0,1
719,train720.aiff,0,0
720,train721.aiff,0,2
721,train722.aiff,0,2
722,train723.aiff,0,2
723,train724.aiff,0,2
724,train725.aiff,0,1
725,train726.aiff,0,1
726,train727.aiff,1,0
727,train728.aiff,0,2
728,train729.aiff,0,0
729,train730.aiff,1,0
730,train731.aiff,0,0
731,train732.aiff,1,0
732,train733.aiff,0,0
733,train734.aiff,1,0
734,train735.aiff,0,0
735,train736.aiff,1,0
736,train737.aiff,1,0
737,train738.aiff,1,0
738,train739.aiff,1,0
739,train740.aiff,0,0
740,train741.aiff,0,1
741,train742.aiff,0,2
742,train743.aiff,0,2
743,train744.aiff,0,1
744,train745.aiff,0,1
745,train746.aiff,0,2
746,train747.aiff,0,1
747,train748.aiff,0,2
748,train749.aiff,0,0
749,train750.aiff,0,0
750,train751.aiff,0,1
751,train752.aiff,0,2
752,train753.aiff,0,0
753,train754.aiff,0,2
754,train755.aiff,0,0
755,train756.aiff,0,0
756,train757.aiff,0,1
757,train758.aiff,0,1
758,train759.aiff,0,0
759,train760.aiff,0,0
760,train761.aiff,0,2
761,train762.aiff,0,0
762,train763.aiff,0,1
763,train764.aiff,0,2
764,train765.aiff,1,0
765,train766.aiff,0,1
766,train767.aiff,0,2
767,train768.aiff,0,4
768,train769.aiff,0,1
769,train770.aiff,0,2
770,train771.aiff,0,2
771,train772.aiff,0,1
772,train773.aiff,0,2
773,train774.aiff,0,0
774,train775.aiff,0,0
775,train776.aiff,0,0
776,train777.aiff,0,0
777,train778.aiff,0,2
778,train779.aiff,0,1
779,train780.aiff,0,1
780,train781.aiff,0,2
781,train782.aiff,0,4
782,train783.aiff,0,2
783,train784.aiff,0,2
784,train785.aiff,0,4
785,train786.aiff,0,1
786,train787.aiff,0,0
787,train788.aiff,0,2
788,train789.aiff,0,2
789,train790.aiff,0,2
790,train791.aiff,0,2
791,train792.aiff,0,0
792,train793.aiff,0,2
793,train794.aiff,0,1
794,train795.aiff,1,2
795,train796.aiff,0,2
796,train797.aiff,0,1
797,train798.aiff,0,2
798,train799.aiff,0,1
799,train800.aiff,0,2
800,train801.aiff,0,0
801,train802.aiff,0,2
802,train803.aiff,0,0
803,train804.aiff,0,2
804,train805.aiff,0,0
805,train806.aiff,0,2
806,train807.aiff,0,2
807,train808.aiff,0,2
808,train809.aiff,0,0
809,train810.aiff,0,1
810,train811.aiff,0,2
811,train812.aiff,0,2
812,train813.aiff,0,0
813,train814.aiff,0,2
814,train815.aiff,0,2
815,train816.aiff,0,0
816,train817.aiff,0,0
817,train818.aiff,0,2
818,train819.aiff,0,0
819,train820.aiff,0,1
820,train821.aiff,0,0
821,train822.aiff,0,2
822,train823.aiff,0,2
823,train824.aiff,0,2
824,train825.aiff,0,1
825,train826.aiff,0,2
826,train827.aiff,0,2
827,train828.aiff,0,2
828,train829.aiff,0,2
829,train830.aiff,0,2
830,train831.aiff,0,2
831,train832.aiff,0,2
832,train833.aiff,0,0
833,train834.aiff,0,0
834,train835.aiff,0,2
835,train836.aiff,0,2
836,train837.aiff,0,0
837,train838.aiff,0,0
838,train839.aiff,0,2
839,train840.aiff,0,2
840,train841.aiff,0,2
841,train842.aiff,0,0
842,train843.aiff,0,0
843,train844.aiff,0,0
844,train845.aiff,0,2
845,train846.aiff,0,1
846,train847.aiff,0,2
847,train848.aiff,0,1
848,train849.aiff,0,0
849,train850.aiff,0,1
850,train851.aiff,0,2
851,train852.aiff,0,2
852,train853.aiff,0,1
853,train854.aiff,0,2
854,train855.aiff,0,2
855,train856.aiff,0,1
856,train857.aiff,0,2
857,train858.aiff,0,2
858,train859.aiff,0,1
859,train860.aiff,1,0
860,train861.aiff,0,1
861,train862.aiff,0,1
862,train863.aiff,0,0
863,train864.aiff,0,2
864,train865.aiff,0,1
865,train866.aiff,0,0
866,train867.aiff,0,2
867,train868.aiff,0,1
868,train869.aiff,0,1
869,train870.aiff,0,2
870,train871.aiff,0,0
871,train872.aiff,0,2
872,train873.aiff,0,2
873,train874.aiff,0,2
874,train875.aiff,0,1
875,train876.aiff,0,1
876,train877.aiff,0,2
877,train878.aiff,0,2
878,train879.aiff,0,0
879,train880.aiff,1,0
880,train881.aiff,0,2
881,train882.aiff,0,2
882,train883.aiff,0,0
883,train884.aiff,0,2
884,train885.aiff,0,0
885,train886.aiff,0,2
886,train887.aiff,0,0
887,train888.aiff,0,0
888,train889.aiff,0,0
889,train890.aiff,0,0
890,train891.aiff,0,0
891,train892.aiff,1,0
892,train893.aiff,1,0
893,train894.aiff,0,0
894,train895.aiff,0,2
895,train896.aiff,0,2
896,train897.aiff,0,0
897,train898.aiff,0,0
898,train899.aiff,0,0
899,train900.aiff,0,2
900,train901.aiff,0,2
901,train902.aiff,0,0
902,train903.aiff,0,1
903,train904.aiff,0,0
904,train905.aiff,0,1
905,train906.aiff,0,0
906,train907.aiff,0,0
907,train908.aiff,0,1
908,train909.aiff,0,0
909,train910.aiff,0,0
910,train911.aiff,0,1
911,train912.aiff,0,2
912,train913.aiff,0,2
913,train914.aiff,0,2
914,train915.aiff,0,1
915,train916.aiff,0,1
916,train917.aiff,0,1
917,train918.aiff,0,0
918,train919.aiff,0,2
919,train920.aiff,0,2
920,train921.aiff,0,2
921,train922.aiff,0,2
922,train923.aiff,0,0
923,train924.aiff,0,2
924,train925.aiff,0,2
925,train926.aiff,0,0
926,train927.aiff,0,0
927,train928.aiff,0,2
928,train929.aiff,0,2
929,train930.aiff,0,0
930,train931.aiff,1,0
931,train932.aiff,1,0
932,train933.aiff,0,0
933,train934.aiff,1,0
934,train935.aiff,0,0
935,train936.aiff,0,0
936,train937.aiff,0,0
937,train938.aiff,0,2
938,train939.aiff,0,1
939,train940.aiff,0,1
940,train941.aiff,0,2
941,train942.aiff,0,2
942,train943.aiff,0,0
943,train944.aiff,1,0
944,train945.aiff,0,2
945,train946.aiff,0,1
946,train947.aiff,0,2
947,train948.aiff,0,2
948,train949.aiff,0,0
949,train950.aiff,0,0
950,train951.aiff,0,0
951,train952.aiff,0,0
952,train953.aiff,0,0
953,train954.aiff,0,0
954,train955.aiff,0,0
955,train956.aiff,0,0
956,train957.aiff,0,0
957,train958.aiff,1,0
958,train959.aiff,0,0
959,train960.aiff,1,0
960,train961.aiff,1,0
961,train962.aiff,1,0
962,train963.aiff,1,0
963,train964.aiff,0,0
964,train965.aiff,0,0
965,train966.aiff,0,0
966,train967.aiff,1,0
967,train968.aiff,1,0
968,train969.aiff,1,0
969,train970.aiff,0,0
970,train971.aiff,0,0
971,train972.aiff,0,1
972,train973.aiff,0,2
973,train974.aiff,0,2
974,train975.aiff,1,0
975,train976.aiff,1,0
976,train977.aiff,0,1
977,train978.aiff,0,1
978,train979.aiff,0,2
979,train980.aiff,0,1
980,train981.aiff,1,0
981,train982.aiff,0,0
982,train983.aiff,0,0
983,train984.aiff,0,0
984,train985.aiff,0,2
985,train986.aiff,0,0
986,train987.aiff,0,0
987,train988.aiff,0,1
988,train989.aiff,0,1
989,train990.aiff,0,0
990,train991.aiff,1,0
991,train992.aiff,0,0
992,train993.aiff,0,0
993,train994.aiff,0,0
994,train995.aiff,0,0
995,train996.aiff,0,0
996,train997.aiff,1,0
997,train998.aiff,0,0
998,train999.aiff,0,0
999,train1000.aiff,1,0
1000,train1001.aiff,0,0
1001,train1002.aiff,0,0
1002,train1003.aiff,0,0
1003,train1004.aiff,0,2
1004,train1005.aiff,0,2
1005,train1006.aiff,0,0
1006,train1007.aiff,1,0
1007,train1008.aiff,0,2
1008,train1009.aiff,0,2
1009,train1010.aiff,0,2
1010,train1011.aiff,0,2
1011,train1012.aiff,0,2
1012,train1013.aiff,0,0
1013,train1014.aiff,0,0
1014,train1015.aiff,0,2
1015,train1016.aiff,0,2
1016,train1017.aiff,0,2
1017,train1018.aiff,0,0
1018,train1019.aiff,0,2
1019,train1020.aiff,0,2
1020,train1021.aiff,0,0
1021,train1022.aiff,0,0
1022,train1023.aiff,0,0
1023,train1024.aiff,0,2
1024,train1025.aiff,0,0
1025,train1026.aiff,0,0
1026,train1027.aiff,0,0
1027,train1028.aiff,0,0
1028,train1029.aiff,0,0
1029,train1030.aiff,1,0
1030,train1031.aiff,0,0
1031,train1032.aiff,0,0
1032,train1033.aiff,0,0
1033,train1034.aiff,0,0
1034,train1035.aiff,0,0
1035,train1036.aiff,0,0
1036,train1037.aiff,0,0
1037,train1038.aiff,0,0
1038,train1039.aiff,0,2
1039,train1040.aiff,0,0
1040,train1041.aiff,0,0
1041,train1042.aiff,0,0
1042,train1043.aiff,0,2
1043,train1044.aiff,0,0
1044,train1045.aiff,0,2
1045,train1046.aiff,1,0
1046,train1047.aiff,1,2
1047,train1048.aiff,0,0
1048,train1049.aiff,1,0
1049,train1050.aiff,0,2
1050,train1051.aiff,1,0
1051,train1052.aiff,0,0
1052,train1053.aiff,0,1
1053,train1054.aiff,0,1
1054,train1055.aiff,1,0
1055,train1056.aiff,0,1
1056,train1057.aiff,1,0
1057,train1058.aiff,0,0
1058,train1059.aiff,1,0
1059,train1060.aiff,1,0
1060,train1061.aiff,0,1
1061,train1062.aiff,0,2
1062,train1063.aiff,0,2
1063,train1064.aiff,0,0
1064,train1065.aiff,0,2
